Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,6/21/2018,0.158367317,0.16182888,0.163427721,0.156804457,-0.002887809,-0.01823488,-0.800334441
ADA,Cardano,6/22/2018,0.139426799,0.15817389,0.158600934,0.134670209,-0.018940518,-0.135845606,-0.855653743
ADA,Cardano,6/23/2018,0.139060035,0.138355115,0.152870824,0.133856856,-0.000366764,-0.002637451,-0.856797666
ADA,Cardano,6/24/2018,0.130380761,0.139160073,0.139264664,0.119801679,-0.008679274,-0.066568671,-0.884786488
ADA,Cardano,6/25/2018,0.135659705,0.131026862,0.137094056,0.127042426,0.005278944,0.038913132,-0.867549132
ADA,Cardano,6/26/2018,0.128496108,0.135437768,0.135771139,0.128154786,-0.007163597,-0.055749525,-0.891110026
ADA,Cardano,6/27/2018,0.1273212,0.128775532,0.128890494,0.122864714,-0.001174908,-0.009227905,-0.895099277
ADA,Cardano,6/28/2018,0.120470415,0.127298556,0.128551046,0.120071682,-0.006850785,-0.056866949,-0.919119594
ADA,Cardano,6/29/2018,0.12566879,0.120364765,0.125964502,0.114112929,0.005198375,0.04136568,-0.900772566
ADA,Cardano,6/30/2018,0.135812787,0.125553249,0.139985604,0.124884869,0.010143997,0.07469103,-0.867059339
ADA,Cardano,7/1/2018,0.157297394,0.138978003,0.175572999,0.13389798,0.021484607,0.136585906,-0.803278472
ADA,Cardano,7/2/2018,0.163412246,0.157310866,0.168739964,0.140343544,0.006114852,0.03741979,-0.786715401
ADA,Cardano,7/3/2018,0.16318542,0.163875305,0.180426531,0.154033933,-0.000226826,-0.001389989,-0.787318646
ADA,Cardano,7/4/2018,0.167274311,0.165519697,0.18764426,0.148321188,0.004088891,0.024444226,-0.77657075
ADA,Cardano,7/5/2018,0.151308221,0.167278995,0.167738836,0.146371141,-0.01596609,-0.105520307,-0.820137475
ADA,Cardano,7/6/2018,0.144925764,0.147497177,0.153560146,0.137945487,-0.006382457,-0.044039492,-0.838854401
ADA,Cardano,7/7/2018,0.143399507,0.146692715,0.14687956,0.140196661,-0.001526257,-0.010643391,-0.843452342
ADA,Cardano,7/8/2018,0.148818425,0.143395834,0.151371998,0.143163991,0.005418918,0.036412951,-0.827343296
ADA,Cardano,7/9/2018,0.148760562,0.148722324,0.151667594,0.141942614,-5.79E-05,-0.000388967,-0.82751219
ADA,Cardano,7/10/2018,0.133083483,0.148759468,0.149108534,0.129476021,-0.015677079,-0.117798833,-0.875875841
ADA,Cardano,7/11/2018,0.131968366,0.131139787,0.135385679,0.125765049,-0.001115117,-0.008449881,-0.879530161
ADA,Cardano,7/12/2018,0.124792802,0.132733181,0.13673225,0.123706797,-0.007175564,-0.057499823,-0.903810464
ADA,Cardano,7/13/2018,0.137551007,0.127204132,0.144246816,0.124605288,0.012758205,0.092752538,-0.861536226
ADA,Cardano,7/14/2018,0.157601793,0.138577962,0.167990946,0.126315978,0.020050786,0.127224352,-0.802438846
ADA,Cardano,7/15/2018,0.159215122,0.157607317,0.188709027,0.135492777,0.001613329,0.010133014,-0.798015686
ADA,Cardano,7/16/2018,0.16136852,0.156164661,0.165749013,0.141243405,0.002153398,0.013344598,-0.792181184
ADA,Cardano,7/17/2018,0.171308287,0.161290038,0.177640303,0.152789936,0.009939767,0.058022686,-0.766221628
ADA,Cardano,7/18/2018,0.183674639,0.171325623,0.199837222,0.170333908,0.012366352,0.067327488,-0.735950805
ADA,Cardano,7/19/2018,0.185904792,0.183765031,0.202706061,0.17358606,0.002230153,0.01199621,-0.730709415
ADA,Cardano,7/20/2018,0.162919119,0.185903107,0.186670585,0.160683396,-0.022985673,-0.141086406,-0.788027947
ADA,Cardano,7/21/2018,0.166922718,0.163084697,0.170758872,0.155027337,0.004003599,0.023984746,-0.777484552
ADA,Cardano,7/22/2018,0.171357523,0.167114616,0.180015733,0.163482342,0.004434805,0.025880422,-0.766096824
ADA,Cardano,7/23/2018,0.168924961,0.17047492,0.181864038,0.167745631,-0.002432562,-0.014400252,-0.772306173
